Semester,Year,Department,Number Students
Spring,1933,Botany,213
Spring,1933,Chemistry,499
Spring,1933,Economics,1754
Spring,1933,Education,486
Spring,1933,Engineering,408
Spring,1933,English,1476
Spring,1933,Fine Arts,83
Spring,1933,German,549
Spring,1933,Greek,107
Spring,1933,History,1055
Spring,1933,Latin,74
Spring,1933,Mathematics,561
Spring,1933,Philosophy,266
Spring,1933,Physics,344
Spring,1933,Physical Education,1231
Spring,1933,Psychology,224
Spring,1933,Religion,1074
Spring,1933,Romance Languages,988
Spring,1933,Sociology,106
Spring,1933,Zoology,377
Fall,1933,Botany,245
Fall,1933,Chemistry,588
Fall,1933,Economics,1117
Fall,1933,Education,415
Fall,1933,Civil&Mechanical Engineering,123
Fall,1933,Electrical Engineering,40
Fall,1933,English,1466
Fall,1933,Fine Arts,76
Fall,1933,German,671
Fall,1933,Greek,130
Fall,1933,History,948
Fall,1933,Latin,43
Fall,1933,Mathematics,617
Fall,1933,Music,9
Fall,1933,Philosophy,196
Fall,1933,Physics,314
Fall,1933,Physical Education,1483
Fall,1933,Psychology,423
Fall,1933,Religion,584
Fall,1933,Romance Languages,1105
Fall,1933,Sociology,122
Fall,1933,Zoology,446
Fall,1934,Botany,245
Fall,1934,Chemistry,598
Fall,1934,Economics,1042
Fall,1934,Education,399
Fall,1934,Civil&Mechanical Engineering,136
Fall,1934,Electrical Engineering,58
Fall,1934,English,1554
Fall,1934,Fine Arts,107
Fall,1934,Forestry,9
Fall,1934,German,765
Fall,1934,Greek,104
Fall,1934,History,1038
Fall,1934,Latin,73
Fall,1934,Mathematics,636
Fall,1934,Music,16
Fall,1934,Philosophy,228
Fall,1934,Physics,387
Fall,1934,Physical Education,1573
Fall,1934,Political Science,368
Fall,1934,Psychology,421
Fall,1934,Religion,660
Fall,1934,Romance Languages,1175
Fall,1934,Sociology,130
Fall,1934,Zoology,508
Spring,1935,Botany,242
Spring,1935,Chemistry,500
Spring,1935,Economics,1028
Spring,1935,Education,349
Spring,1935,Civil&Mechanical Engineering,110
Spring,1935,Electrical Engineering,31
Spring,1935,English,1424
Spring,1935,Fine Arts,106
Spring,1935,Forestry,9
Spring,1935,German,709
Spring,1935,Greek,104
Spring,1935,History,1137
Spring,1935,Latin,66
Spring,1935,Mathematics,500
Spring,1935,Music,26
Spring,1935,Philosophy,276
Spring,1935,Physics,349
Spring,1935,Physical Education,1513
Spring,1935,Political Science,402
Spring,1935,Psychology,296
Spring,1935,Religion,670
Spring,1935,Romance Languages,967
Spring,1935,Sociology,135
Spring,1935,Zoology,395
Fall,1935,Botany,314
Fall,1935,Chemistry,570
Fall,1935,Economics,1144
Fall,1935,Education,357
Fall,1935,Civil&Mechanical Engineering,153
Fall,1935,Electrical Engineering,39
Fall,1935,English,1566
Fall,1935,Fine Arts,145
Fall,1935,Forestry,20
Fall,1935,German,685
Fall,1935,Greek,111
Fall,1935,History,1067
Fall,1935,Latin,51
Fall,1935,Mathematics,625
Fall,1935,Music,29
Fall,1935,Philosophy,164
Fall,1935,Physics,396
Fall,1935,Physical Education,1709
Fall,1935,Political Science,430
Fall,1935,Psychology,430
Fall,1935,Religion,651
Fall,1935,Romance Languages,1282
