Year,State,Number,Region,,
1929,Alabama,14,E. South Central,,
1929,Arizona,0,Mountain,,
1929,Arkansas,4,W. South Central,,
1929,California,1,Pacific,,
1929,Colorado,1,Mountain,,
1929,Connecticut,17,New England,,
1929,DC,16,South Atlantic,,
1929,Delaware,0,South Atlantic,,
1929,Florida,15,South Atlantic,,
1929,Georgia,12,South Atlantic,,
1929,Idaho,1,Mountain,,
1929,Illinois,12,E. North Central,,
1929,Indiana,0,E. North Central,,
1929,Iowa,1,W. North Central,,
1929,Kansas,0,W. North Central,,
1929,Kentucky,2,E. South Central,,
1929,Louisiana,1,W. South Central,,
1929,Maine,4,New England,,
1929,Maryland,35,South Atlantic,,
1929,Massachusetts,23,New England,,
1929,Michigan,1,E. North Central,,
1929,Minnesota,0,W. North Central,,
1929,Mississippi,2,E. South Central,,
1929,Missouri,0,W. North Central,,
1929,Montana,0,Mountain,,
1929,Nebraska,0,W. North Central,,
1929,Nevada,0,Mountain,,
1929,New Hampshire,2,New England,,
1929,New Jersey,61,Middle Atlantic,,
1929,New Mexico,0,Mountain,,
1929,New York,49,Middle Atlantic,,
1929,North Carolina,1176,South Atlantic,,
1929,North Dakota,0,W. North Central,,
1929,Ohio,14,E. North Central,,
1929,Oklahoma,1,W. South Central,,
1929,Oregon,0,Pacific,,
1929,Pennsylvania,102,Middle Atlantic,,
1929,Rhode Island,5,New England,,
1929,South Carolina,48,South Atlantic,,
1929,South Dakota,0,W. North Central,,
1929,Tennessee,18,E. South Central,,
1929,Texas,5,W. South Central,,
1929,Utah,0,Mountain,,
1929,Vermont,0,New England,,
1929,Virginia,95,South Atlantic,,
1929,Washington,0,Pacific,,
1929,West Virginia,16,South Atlantic,,
1929,Wisconsin,1,E. North Central,,
1929,Wyoming,0,Mountain,,
1930,Alabama,15,E. South Central,,
1930,Arizona,0,Mountain,,
1930,Arkansas,2,W. South Central,,
1930,California,2,Pacific,,
1930,Colorado,0,Mountain,,
1930,Connecticut,23,New England,,
1930,DC,18,South Atlantic,,
1930,Delaware,1,South Atlantic,,
1930,Florida,13,South Atlantic,,
1930,Georgia,12,South Atlantic,,
1930,Idaho,1,Mountain,,
1930,Illinois,11,E. North Central,,
1930,Indiana,1,E. North Central,,
1930,Iowa,1,W. North Central,,
1930,Kansas,0,W. North Central,,
1930,Kentucky,8,E. South Central,,
1930,Louisiana,0,W. South Central,,
1930,Maine,8,New England,,
1930,Maryland,42,South Atlantic,,
1930,Massachusetts,50,New England,,
1930,Michigan,6,E. North Central,,
1930,Minnesota,0,W. North Central,,
1930,Mississippi,4,E. South Central,,
1930,Missouri,0,W. North Central,,
1930,Montana,0,Mountain,,
1930,Nebraska,0,W. North Central,,
1930,Nevada,0,Mountain,,
1930,New Hampshire,3,New England,,
1930,New Jersey,67,Middle Atlantic,,
1930,New Mexico,0,Mountain,,
1930,New York,84,Middle Atlantic,,
1930,North Carolina,625,South Atlantic,,
1930,North Dakota,0,W. North Central,,
1930,Ohio,17,E. North Central,,
1930,Oklahoma,0,W. South Central,,
1930,Oregon,0,Pacific,,
1930,Pennsylvania,131,Middle Atlantic,,
1930,Rhode Island,9,New England,,
1930,South Carolina,52,South Atlantic,,
1930,South Dakota,0,W. North Central,,
1930,Tennessee,14,E. South Central,,
1930,Texas,0,W. South Central,,
1930,Utah,0,Mountain,,
1930,Vermont,0,New England,,
1930,Virginia,81,South Atlantic,,
1930,Washington,0,Pacific,,
1930,West Virginia,21,South Atlantic,,
1930,Wisconsin,1,E. North Central,,
1930,Wyoming,0,Mountain,,
1930,Canada,3,Foreign,,
1930,Canal Zone,1,Territory,,
1930,Cuba,1,Foreign,,
1930,Japan,2,Foreign,,
1930,Java,1,Foreign,,
1940,Alabama,8,E. South Central,,
1940,Arizona,1,Mountain,,
1940,Arkansas,5,W. South Central,,
1940,California,5,Pacific,,
1940,Colorado,0,Mountain,,
1940,Connecticut,56,New England,,
1940,DC,27,South Atlantic,,
1940,Delaware,16,South Atlantic,,
1940,Florida,56,South Atlantic,,
1940,Georgia,28,South Atlantic,,
1940,Idaho,1,Mountain,,
1940,Illinois,51,E. North Central,,
1940,Indiana,10,E. North Central,,
1940,Iowa,1,W. North Central,,
1940,Kansas,2,W. North Central,,
1940,Kentucky,22,E. South Central,,
1940,Louisiana,7,W. South Central,,
1940,Maine,8,New England,,
1940,Maryland,44,South Atlantic,,
1940,Massachusetts,49,New England,,
1940,Michigan,35,E. North Central,,
1940,Minnesota,4,W. North Central,,
1940,Mississippi,4,E. South Central,,
1940,Missouri,7,W. North Central,,
1940,Montana,0,Mountain,,
1940,Nebraska,1,W. North Central,,
1940,Nevada,0,Mountain,,
1940,New Hampshire,4,New England,,
1940,New Jersey,182,Middle Atlantic,,
1940,New Mexico,1,Mountain,,
1940,New York,245,Middle Atlantic,,
1940,North Carolina,451,South Atlantic,,
1940,North Dakota,0,W. North Central,,
1940,Ohio,105,E. North Central,,
1940,Oklahoma,2,W. South Central,,
1940,Oregon,0,Pacific,,
1940,Pennsylvania,202,Middle Atlantic,,
1940,Rhode Island,7,New England,,
1940,South Carolina,29,South Atlantic,,
