Year,Men,Women
1929,1640,452
1930,1730,575
1931,1930,735
1932,1971,784
1933,2036,880
1934,2213,946
1936,2307,1016
1937,2293,1034
1938,2389,1084
1939,2508,1122
1940,2536,1147
1941,2388,1181
1942,2283,1260
1948,3718,1396
1949,3699,1386
1950,3535,1377
1951,3251,1380
1952,3195,1339
1967,2865,1658
1968,2897,1745
1969,2918,1763
1970,3004,1830
1971,3110,1956
1972,3214,2117
1973,3157,2152
1974,3157,2273
1975,3133,2347
1976,3121,2558
1977,3136,2666
1978,3236,2852
1979,3241,2835
1980,3215,2852
1981,3300,2878
1982,3290,2863
1983,3262,2964
1984,3300,3061
1985,3309,3053
1986,3481,3044
1987,3531,2892
1988,3585,2820
1989,3589,2792
1990,3603,2873
1991,3521,2933
1992,3520,2995
1993,3538,3048
1994,3436,3082
1995,3447,3184
1996,3428,3324
1997,3434,3332
1998,3493,3341
2018,3485,3590
2019,3468,3618
2020,3262,3346
2021,3363,3589
2022,3330,3686
